"регион","средний доход","column_20% персентиль дохода","column_40% персентиль дохода","column_60% персентиль дохода","column_80% персентиль дохода","column_100% персентиль дохода","доля населения с среднедушевые доходом ниже медианы","численность населения с денежными доходами ниже границы бедност","население","моложе трудоспо-собного возраста","в трудоспо-собном возрасте","старше трудоспо-собного возраста","a","b","c","d","e","f","g","h","i","j","k","l","m","n","p","q","r","s","< 18","t","q.1","r.1","s.1","t.1","u","v","w","column_18 <= x <= 25","x","y","z","aa","ab","column_25 < x <= 30","ac","ad","ae","af","ag","ah","ai","aj","ak","al","column_30 < x <= 40","am","an","aq","ar","as","at","aq.1","av","ax","az","column_41 < x <= 50","ba","bb","bc","bd","be","bf","bg","bh","bi","bj","column_51 < x <= 60","bk","bl","bm","bn","bo","bp","bq","bv","bw","bx","by","bz","ca","cb","cd","ce","cf","cg","ch","ci","cj","ck","cl","cm","cn","co","cp","cr","cs","ct","cq","cu","cv","cw","cx","cy","cz","da","db","dc","> 60","мужчины","мужчины моложе трудоспо-собного возраста","мужчины трудоспо-собного возраста","мужчины старше трудоспо-собного возраста","женщины","женщины моложе трудоспо-собного возраста","женщины трудоспо-собного возраста","женщины старше трудоспо-собного возраста","городские мужчины","городские мужчины моложе трудоспо-собного возраста","городские мужчины в трудоспо-собном возрасте"," городские мужчины старше трудоспо-собного возраста","городские женщины","городские женщины моложе трудоспо-собного возраста","городские женщины в трудоспо-собном возрасте","городские женщины старше трудоспо-собного возраста","оценка туристского потока (число поездок)","оценка туристского потока (число ночевок)","доход от гостиниц/отелей/хостелов в год (тыс)","число турфирм"
"        Ивановская область","40326","13104","22908","32536","46360","86722","14.8000000000","10.2000000000","924114","149869","516959","257286","6806","6904","7351","8325","9125","10228","10519","10437","10719","10541","9947","10026","10242","10088","9647","8964","8807","8722","167398","9479","9414","9226","9112","7621","7654","6901","7735","67142","7905","7767","8501","10322","11046","45541","13054","13642","14212","15164","15364","15853","14566","15437","14066","13779","145137","14706","13788","14003","13164","13893","14681","13771","12838","13361","13072","137277","13130","12459","12038","11554","12386","13019","12654","13639","14226","14631","129736","14725","14276","14214","13801","13127","13702","13927","11967","11788","11370","11022","10993","8487","7903","6942","3743","2758","1868","3208","6039","5638","5513","5003","4479","3081","2548","2061","1534","1575","1169","1051","677","560","405","273","202","116","64","38","36","231883","414279","77559","268456","68264","509835","72310","248503","189022","333816","65375","216120","52321","423536","60628","209454","153454","466711","1839723","2514185.4000000000","135"
"        Хабаровский край","55717","18064","31607","44919","64045","119951","14.8000000000","9.8000000000","1292764","243458","764628","284678","13054","13035","14064","15037","15481","17076","18377","17773","17382","17200","15898","14661","14325","13751","13241","13103","13541","13372","270371","15069","15001","14831","14293","12738","13664","12204","13816","111616","15048","14051","14111","15452","18284","76946","22668","22970","22655","24341","24689","23589","22855","22667","21921","20674","229029","22599","20266","20208","19207","20288","19462","18486","17652","17888","17106","193162","17465","15749","14834","13841","14417","15408","14713","15736","15325","15805","153293","17249","15564","14904","14002","14223","15120","15410","14035","14265","13139","13293","12450","10313","9914","8772","5397","4081","3106","4977","5894","5731","5199","4643","4022","3073","2232","1478","1202","1163","825","721","578","427","314","229","156","92","69","40","45","258347","610097","124691","399614","85792","682667","118767","365014","198886","502610","102352","329039","71219","576207","97744","309242","169221","1097261","2931338","2698163.5000000000","113"
"        Астраханская область","36465","12038","20917","29578","41958","77832","14.5000000000","12.5000000000","957772","203640","543830","210302","10616","10800","10836","11575","12086","14077","14578","14514","14613","14835","13347","12531","12954","13553","12306","10419","10764","10810","225214","10102","10226","9269","9366","8989","9343","9328","9330","75953","10574","10046","10658","11934","13041","56253","15433","15403","16211","16903","16313","16920","16323","16518","15244","14875","160143","15159","13344","14731","13520","13154","13422","12133","12498","12495","12055","132511","11519","11319","10761","10926","11345","11964","12153","13203","12768","13109","119067","14380","12991","12670","11981","12362","11958","11492","10263","10108","9828","8736","8617","7241","5366","4790","3187","1865","2055","2596","3733","3633","3486","3197","2764","1992","1672","1057","843","1173","485","346","228","192","144","100","64","29","44","23","940","188631","449662","104228","280239","65195","508110","99412","263591","145107","284004","65420","177187","41397","331754","62480","173692","95582","705067","2637914","3372313.1000000000","103"
"        Республика Бурятия","38263","11965","21227","30468","43882","83773","15.5000000000","17.7000000000","977951","236220","554161","187570","11816","12045","12363","13351","13529","15514","16166","16279","16317","16168","15972","16006","16252","15771","14898","13773","13659","12777","262656","12349","12358","10968","10765","10320","10363","9906","10528","87557","10639","10996","11027","12664","13241","58567","15128","16354","17049","17649","17832","17444","16566","16996","16260","15046","166324","15168","14242","14128","13706","13557","12845","12462","11860","11669","10631","130268","10298","9689","9573","9501","9958","10620","10562","11287","11480","12501","105469","13012","12234","12101","11439","10904","10163","10008","9150","8623","7943","7519","7338","5730","4963","3824","2234","1539","1279","2371","3224","3577","3199","2894","2589","2119","1648","1019","924","969","635","578","440","351","198","129","95","77","31","22","18","167110","458813","121123","282929","54761","519138","115097","271232","132809","264506","68531","165931","30044","314056","65165","169236","79655","820586","2400893","3149953.3000000000","46"
"        Воронежская область","44971","12851","23584","34686","51212","102523","17.1000000000","6.9000000000","2302617","368159","1309476","624982","18521","19027","19631","21574","22601","25217","26256","25820","25559","26212","24684","23803","24039","23286","21735","20194","20629","21632","410420","21898","21417","21462","22241","19810","20693","20046","21444","169011","23693","25848","27551","31756","33059","141907","37169","37861","39930","40894","40847","39245","38882","38784","35643","34416","383671","35865","33092","32638","31937","32796","32606","31937","30223","31056","29967","322117","30503","28042","28378","27792","29213","29871","30366","33362","34561","35923","308011","38209","35981","35750","34748","33137","31723","30976","27034","27999","25581","25070","26659","21336","17856","17026","9067","6667","6541","9513","14671","14593","14444","13408","10304","8703","6557","4059","3460","4009","3029","2813","2029","1550","1100","764","460","293","198","92","71","567480","1064328","189099","684494","190735","1238289","179060","624982","434247","721287","132299","466449","122539","856213","125400","445367","285446","1609535","4949420","3561378.1000000000","173"
"        Оренбургская область","36601","11267","20109","28986","41930","80711","15.8000000000","11.6000000000","1855781","360892","1039313","455576","17384","17936","18747","20080","20581","23925","25191","25968","26159","26410","24918","25382","23965","22924","21848","19474","19789","20337","401018","20257","19427","18118","18370","17659","18656","17875","18396","148758","19169","19543","18923","19526","21984","99145","24849","27564","29002","30760","32126","32324","29415","30149","28162","27913","292264","30096","27649","26495","25701","26456","26696","24609","23452","24050","23393","258597","23347","22435","22735","21940","22969","24436","24803","27263","27879","29658","247465","30407","29138","29032","26574","25428","24949","23999","20635","20655","19795","17133","16368","14345","13266","11610","5951","4031","4330","6262","8741","9013","9466","8232","7211","5769","4042","2072","1646","1921","1539","1508","1085","834","585","396","263","147","81","37","38","408534","861284","186231","538213","136840","994497","174661","501100","318736","501823","103362","323340","75121","606907","97206","320611","189090","912871","3712638","1945770.4000000000","153"
"        Республика Карелия","52984","17118","29992","42666","60890","114251","14.9000000000","11.1000000000","532384","91510","293919","146955","4234","4096","4462","5057","5354","6190","6444","6531","6297","6606","6202","6304","6344","6116","5782","5491","5586","5789","102885","5266","4918","4441","4376","3915","4036","3869","4134","34955","4174","4288","4337","4955","5822","23576","6993","7833","8273","9117","9201","8856","8859","8934","8820","8333","85219","8419","7986","8296","8016","8389","8209","8160","7589","7487","7497","80048","7267","6616","6544","6502","6931","7088","7400","7877","7883","8889","72997","9184","8718","8650","8273","8034","8026","8111","7121","6863","6605","6216","6457","4655","4515","3687","2174","1624","1169","1724","2869","2431","2775","2535","2358","1697","1346","948","786","809","644","537","401","265","176","144","88","37","29","12","11","132704","238824","46580","151836","40408","293560","44930","142083","106547","186861","38023","119218","29620","235958","36705","117391","81862","1159048","2389624","5480804.4000000000","136"
"        Город Севастополь","39471","14463","24121","33124","45609","80036","12.3000000000","9.3000000000","547452","93079","329288","125085","4425","4808","5108","5362","5903","6556","7067","6435","6502","6544","6271","5626","5520","5921","5747","5284","5550","5023","103652","5615","5560","5152","6688","6515","5193","4888","6720","46331","7415","5618","5730","6551","7515","32829","9866","10518","9949","10231","11455","11928","9666","9773","9309","8525","101220","10715","8580","8968","7676","8732","8473","7631","6869","7096","6461","81201","8099","7121","7541","5869","6299","6845","5960","7099","6249","6337","67419","7843","6620","6921","6023","6895","6671","6579","5752","6113","5327","5497","5540","4307","4004","4001","2777","1856","1753","2159","2611","2524","2621","2180","2064","1431","1042","660","538","647","379","395","325","229","182","137","104","43","32","17","1","114800","260690","47839","172162","40689","286762","45240","157126","84396","239987","44411","157965","37611","265299","42029","145073","78197","286913","1685366","2822435.3000000000","66"
"        Нижегородская область","50283","14110","26069","38528","57166","115541","17.4000000000","7.5000000000","3108918","543407","1740931","824580","26017","27579","28603","31912","34166","38482","40067","38486","38287","38387","36135","34478","34793","34037","31984","29994","29627","29826","602860","29993","29452","26998","28328","25838","28302","26696","28595","224202","30448","30366","30126","34120","39070","164130","47198","50243","52242","55848","56274","55028","51546","53286","48470","47529","517664","49837","46119","47411","44338","45214","45891","43125","40932","41620","41366","445853","42541","39061","37208","36347","37981","40167","40282","42882","44098","47028","407595","50808","49370","49656","46868","44802","43959","42430","37599","36680","34854","34738","33950","26094","24568","22036","13142","9557","7730","10475","16741","16198","16182","15288","14232","10099","8684","6481","4765","5048","3399","2982","2115","1752","1153","820","553","372","198","113","123","746614","1408266","279365","899280","229621","1700652","264042","841651","594959","1108979","228055","707637","173287","1376284","215562","692182","468540","2504365","8890460","9077501.1000000000","420"
"        Красноярский край","50368","14224","26218","38682","57297","115420","17.3000000000","14.0000000000","2856326","569281","1659215","627830","28308","29020","30198","33543","35534","39806","41046","40950","40767","40872","37990","36725","36296","35614","33099","29513","31489","29761","630531","31968","30477","27747","28782","26116","26752","25208","29130","226180","31914","33280","33055","38766","43478","180493","49013","49089","48551","50961","53719","52352","49059","51246","50475","47026","501491","47205","45003","44039","41318","42499","42773","40175","37078","37209","35741","413040","36488","33712","31655","30023","31334","33438","33251","36544","36428","38344","341217","40167","37832","37254","35692","34112","34661","34487","30436","30035","27821","26602","25094","20605","18318","14938","9843","6496","6029","8187","11697","12634","11859","10161","9380","6850","5072","3554","2653","2707","1943","1780","1373","1067","727","477","337","199","144","77","74","563374","1328198","292589","849514","186095","1528128","276692","809701","441735","1043692","223934","681628","138130","1224776","212052","670861","341863","1714776","5743501","6702484.3000000000","345"
"        Калужская область","44538","15370","26249","36663","51357","93052","13.6000000000","7.5000000000","1073252","178914","617757","276581","8919","9407","9535","11068","11536","12891","13214","12115","12021","12280","11554","11848","11052","10928","10627","9919","10191","10118","199223","10333","9877","10018","9915","9936","10213","10145","10285","80722","11386","11230","11483","12863","14518","61480","16643","18057","18586","20214","19888","19140","19067","19148","17429","16674","184846","17339","16347","16594","15306","15992","15871","14825","14168","14555","14139","155136","14573","13248","13189","12700","13012","14557","13504","15101","15625","15852","141361","17131","16133","16948","15623","15700","14886","14129","12254","12304","11704","11380","10961","8927","8457","7083","4427","3049","2663","4128","5860","5515","5410","5178","4844","3468","2464","1550","1509","1548","1232","1204","759","651","442","327","219","199","105","74","39","250484","509427","91593","333633","84201","563825","87321","284124","192380","377917","69162","246940","61815","427401","66374","215657","145370","771936","2422663","2948772.1000000000","133"
"        Рязанская область","39492","12686","22276","31739","45369","85388","15.0000000000","10.9000000000","1098579","174458","612415","311706","7876","8615","9236","10168","10925","12665","12476","12381","12258","12317","11648","11305","10636","11670","10836","9446","9716","10155","194329","10738","10225","9654","9690","9138","9530","8894","9483","77352","10008","9910","10512","12850","13670","56950","15771","16517","17859","19084","18287","17704","18059","17241","16955","16511","173988","17112","16501","16097","15840","16215","15728","15831","15399","15577","15651","159951","16126","14350","14284","14106","14721","14272","14810","15916","16453","17669","152707","18845","17831","17740","17614","16342","16435","15483","13712","13657","13178","13060","12975","10468","9797","8382","4618","3289","2893","4582","7604","7003","7012","6261","5359","3874","3268","2186","1883","2069","1486","1292","845","708","531","371","265","160","121","78","25","283302","497369","89681","318813","88875","601210","84777","293602","222831","347925","65093","224097","58735","436072","61270","217730","157072","1168812","3420867","2908260.8000000000","94"
"        Кировская область","38005","12802","22071","31036","43775","80341","14.1000000000","10.6000000000","1149176","198538","617040","333598","8011","9051","9822","11243","12371","14315","15082","13974","14179","14097","13100","13529","13139","12898","12223","11504","10853","10777","220168","9847","9763","8995","8823","7796","8381","7807","8491","69903","9135","8904","9403","10867","12796","51105","15581","16673","16935","18457","19877","19529","18637","19945","18299","17858","181791","19186","17251","17751","16463","17618","17237","16241","15271","15194","14724","166936","14937","13372","13499","13127","14299","15366","15730","17499","17873","19964","155666","21785","21009","21019","20343","18742","19049","18168","15666","15729","14739","14233","13541","10161","9832","8149","4077","2623","2027","3488","6403","6132","6631","5708","5138","3564","3068","2489","2052","2080","1575","1301","963","736","470","367","219","139","81","48","63","303607","525107","101719","323981","99407","624069","96819","293059","234191","403709","82753","251843","69113","491945","78704","240376","172865","733738","2979440","2786766.9000000000","135"
"        Алтайский край","36315","11153","19923","28737","41596","80167","15.8000000000","13.8000000000","2154932","424089","1182444","548399","19315","19737","20972","23122","25183","28183","29426","30585","31184","31818","29645","27777","27399","29474","26900","23369","23751","24008","471848","23559","21373","19779","22784","21337","21179","20152","21570","171733","22631","23246","23622","27869","30155","127523","32258","34061","31950","31651","32296","32669","31634","33906","32451","30435","323311","32745","29580","29795","28172","29761","30000","30463","29058","28928","27550","296052","27415","24627","23842","22724","23929","25113","25512","28896","30703","34087","266848","36729","35488","36182","35618","31599","31353","28337","25674","23960","23775","22851","21393","19106","16681","12339","7667","4790","4655","5991","9136","10258","10254","9124","7719","5636","4319","3411","2587","2437","1938","1803","1468","1212","825","535","364","199","119","51","34","497617","985906","217553","603618","164735","1169026","206536","578826","383664","561897","121221","355479","85197","693062","115549","364415","213098","1505214","6335800","11347501.1000000000","186"
"        Ульяновская область","35749","11849","20557","29037","41143","76159","14.4000000000","12.4000000000","1191661","201949","660923","328789","9952","10254","10759","11804","12320","14225","14668","14663","14512","14514","13557","12730","12736","12746","11656","10853","10615","10931","223495","10857","10646","9774","10364","10206","10559","9828","11252","83486","11833","12944","13061","14530","15764","68132","18366","19155","20266","20545","20354","19217","19171","18935","17077","16827","189913","16607","15806","16535","16303","16524","15992","15613","15374","15825","15782","160361","16012","14887","14927","15073","16022","17225","17778","19049","19887","20632","171492","21338","19767","19206","19090","17787","17516","17198","15079","14537","13702","13227","13049","11315","9982","8456","4489","3177","3354","4817","6891","6607","6356","5812","5377","4047","2835","1754","1505","1670","1178","1283","752","561","404","268","172","106","59","33","26","294782","548113","103864","347853","96396","643548","98085","313070","232393","416135","82646","265117","68372","498571","77872","249250","171449","714632","2597172","2066797.4000000000","84"
"        Камчатский край","84661","24794","45088","65878","96614","190930","16.7000000000","10.9000000000","292574","56848","179192","56534","3092","3235","3228","3349","3612","3869","4006","3941","4013","3904","3721","3354","3498","3471","3391","3164","3236","2990","63074","2722","2782","2786","2930","2891","3149","2765","3133","23158","3178","3074","3135","3577","4007","16971","4867","5123","5470","5725","6196","6112","5363","5582","5189","4942","54569","5228","4856","4746","4518","4510","4855","4581","4357","4407","4203","46261","4177","3979","3842","3555","3674","3821","3613","3730","3665","3805","37861","3868","3437","3535","3282","3051","3096","2994","2748","2752","2584","2477","2456","2058","1730","1556","1113","784","661","868","959","951","896","675","576","416","313","208","159","124","98","78","53","37","29","28","18","6","2","2","2","50680","142988","29064","96275","17649","149586","27784","82917","38885","110953","22770","75219","12964","117075","21674","66022","29379","309863","779904","3148948.6000000000","114"
"        Приморский край","54010","16537","29573","42693","61849","119397","15.9000000000","10.3000000000","1841961","322405","1089242","430314","16665","17275","17232","18777","19679","21904","22725","22605","22745","22851","21437","21111","20549","19566","19544","17740","18566","18106","359077","20079","21121","21221","21384","18327","18022","15936","17975","154065","19074","18571","19454","21670","25672","104441","29460","30568","30868","32962","32769","32110","31365","31875","31096","29777","312850","31598","29310","29414","27900","28814","29082","27819","26899","27241","26504","284581","26522","24383","23007","21873","22917","22972","23412","24085","24139","24958","238268","26619","23754","23391","22754","21908","22548","22566","20834","21096","19474","18855","18407","15503","15112","12871","8240","6119","5461","7155","9113","9092","8234","6777","6450","4135","3406","2159","1691","1797","935","569","463","341","312","210","139","83","68","33","5","388679","863725","163498","571361","128866","978236","158907","517881","301448","670624","127557","447186","95881","774761","124496","416210","234055","2118237","7952384","6429772.9000000000","118"
"        Республика Мордовия","30612","9781","17210","24557","35157","66355","15.1000000000","14.1000000000","781440","114783","449377","217280","5252","5451","5826","6561","6621","7617","7703","7786","7944","7952","7607","7786","7904","8047","7614","7112","7301","7523","129607","8135","8031","7886","8241","7774","7563","7052","7505","62187","8248","7695","8001","9002","9803","42749","11497","12339","12623","13329","13145","12942","12166","12504","11824","11212","123581","11798","11312","11077","10754","11166","11420","10824","10170","11005","11436","110962","11536","10376","10594","10417","11215","11902","11477","12631","12470","13252","115870","14366","13603","13625","12703","12382","11294","11114","9771","9853","8862","8748","8632","7279","6127","5645","2786","2015","1884","3067","4647","4470","4029","3979","2933","2589","2100","1507","1104","1127","820","846","646","588","432","321","209","157","130","66","28","196484","362586","58489","239546","64551","418854","56294","209831","152729","223766","39491","147661","36614","271956","38315","141106","92535","217171","772445","867595.8000000000","32"
"        Республика Башкортостан","40006","11934","21553","31335","45723","89488","16.3000000000","10.0000000000","4091621","818105","2328492","945024","39306","40872","41491","46563","48672","56166","59429","59623","59032","58890","55382","54259","51321","53622","50453","43024","45645","45427","909177","44349","43424","39011","41081","38498","39625","38884","41846","326718","43417","41419","43426","49870","54606","232738","69022","70825","72410","76594","73477","72176","67506","69038","63243","59639","693930","61938","57203","54946","52835","53890","52989","50749","47788","49388","48105","529831","52755","49833","51497","49244","52683","55820","56061","61065","62037","64416","555411","69998","63032","60514","56504","52001","51482","48911","41684","42311","38580","34334","34360","25694","24344","21529","12407","7370","8187","13157","17058","17521","18709","16224","13651","12035","9753","6421","5214","5838","3853","3374","2341","2006","1197","876","589","363","199","82","113","843816","1934940","420581","1223019","291340","2156681","397524","1105473","653684","1176332","261721","750572","164039","1362995","247410","726091","389494","2154174","8870912","11391604.5000000000","297"
"        Республика Алтай","34244","10493","18759","27076","39216","75674","15.9000000000","18.0000000000","210808","57670","116027","37111","2753","2751","2808","3137","3215","3621","3727","4079","4143","4347","4343","3898","3955","4046","3708","3139","3339","3146","64155","2551","2250","2303","2295","2151","2401","2306","2351","18608","2444","2522","2246","2095","2078","11385","2480","2730","3396","3579","3492","3348","3348","3710","3416","3334","32833","2977","3020","2900","3023","2950","2820","2874","2506","2628","2420","28118","2332","2189","2132","2116","2155","2168","2237","2389","2483","2689","22890","2734","2641","2589","2497","2361","2211","2142","1785","1680","1597","1450","1353","1042","917","722","401","229","236","329","463","509","484","458","405","278","228","198","180","164","99","115","110","78","37","32","25","21","8","6","5","32819","99464","29439","58616","11409","111344","28231","57411","25702","29399","7988","18302","3109","35964","7604","20574","7786","1037722","3125812","3572763.6000000000","39"
"        Владимирская область","38619","13529","22969","31946","44559","80091","13.3000000000","9.8000000000","1342235","219772","749208","373255","9698","9954","10998","12569","13045","15383","15818","15169","15142","15934","15081","14602","14595","14644","14044","13096","13021","12920","245713","13496","13149","12288","11778","11295","11630","11284","12244","97164","12684","13361","13849","15305","16420","71619","19296","20205","21250","23041","23090","21592","22221","22552","21255","19953","214455","20936","20549","19979","18944","19529","20188","19168","18213","18591","18055","194152","18702","16700","16438","16004","17538","17478","18206","19129","20518","21393","182106","21872","21806","21747","20642","19265","19558","19760","16504","16296","15363","15687","15111","12422","11219","9889","6141","4248","3426","5239","8706","7943","7876","7538","6697","4466","3791","2499","2105","2027","1606","1530","1161","787","620","423","352","230","147","82","245","337026","609524","113064","392503","103957","732711","106708","356705","269298","466521","90409","300475","75637","575145","85537","283398","206210","1134860","3251101","3939690.8000000000","170"
"        Омская область","40521","12073","21814","31724","46306","90686","16.4000000000","11.1000000000","1851537","365420","1031217","454900","17020","17475","18423","20521","21658","25050","26992","28018","27339","27688","25179","23626","23037","22670","21443","19281","19231","19410","404061","19863","17848","16424","16685","15250","16015","15326","17186","134597","17963","17612","18012","19818","22100","95505","26566","27462","28783","30721","33041","32648","31548","32018","31546","29200","303533","29516","28211","27485","27454","27148","26606","25558","24724","24326","23031","264059","22775","21971","21900","21356","22368","23922","24513","26957","27817","29013","242592","30557","28896","28874","27344","25806","24793","23083","19902","21406","19515","17611","17000","13976","13689","10749","6212","4245","3999","5358","7792","8435","8904","7813","6950","5606","4057","3107","2191","2138","1634","1562","1225","938","608","447","318","185","114","63","88","407190","854140","187703","532858","133579","997397","177717","498359","321321","616814","131045","391881","93888","744664","124401","381369","238894","1035118","3754087","2984679.2000000000","188"
"        Волгоградская область","35472","12017","20671","29022","40869","74780","14.0000000000","9.4000000000","2492808","409110","1454545","629153","19413","19546","20896","23387","24709","27855","28616","28724","28577","29179","27868","25607","25247","28604","27534","23348","23265","20468","452843","23542","24889","23805","26765","25168","24316","22756","26130","197371","28571","25887","27756","29380","32866","144460","42023","42207","42293","43338","43901","44618","41243","42746","39740","38016","420125","42918","39556","37379","36544","38069","37941","35779","34512","35277","33151","371126","36857","32824","32868","29887","31552","33799","31512","35344","34284","35642","334569","39922","35640","34358","32668","32944","32682","31950","28779","28465","26218","26932","26205","21756","18354","16404","10879","6550","7420","10084","13749","14255","14086","13023","11259","8833","6933","3757","3012","3480","2511","2406","1858","1566","1142","827","521","404","254","127","101","572314","1167543","210026","758925","198592","1325265","199084","695620","430561","893090","158406","585137","149547","1038141","150636","554918","332587","1425779","3831696","3084192.9000000000","160"
"        Республика Тыва","28920","8516","15455","22548","33018","65064","16.6000000000","25.9000000000","336251","113268","188579","34404","6557","6965","5846","6376","6771","7109","7162","7598","7657","7895","8035","7591","7633","7367","7109","5597","5358","5134","123760","4112","3948","3908","3577","3687","3748","3680","4370","31030","4808","4874","4909","4309","4809","23709","5386","5581","5779","5958","5929","5255","5180","5304","5052","4731","54155","4356","4758","4300","4071","4271","3934","4061","4049","3912","3969","41681","3847","3560","3463","3425","3497","3331","3252","3101","3092","2841","33409","2975","2598","2282","2114","1959","1670","1639","1341","1139","1289","1134","1116","993","815","788","554","431","534","498","512","457","389","308","205","189","111","99","79","69","44","56","32","26","21","10","13","6","9","1","2","28507","158961","57751","91897","9313","177290","55517","96682","25091","84953","30145","50094","4714","99361","29105","56566","13690","75248","312479","256466.6000000000","11"
"        Забайкальский край","42400","13364","23637","33855","48652","92492","15.3000000000","15.8000000000","1000520","220626","586897","192997","10592","10990","11259","12232","12924","14179","15130","15736","15498","15666","14962","15219","14924","14781","13761","12773","13108","13194","246928","12700","12735","11993","11488","10535","11272","10131","10676","91530","11154","11625","11472","13093","14665","62009","16452","16836","17606","18391","17694","17278","17084","17740","17420","16111","172612","16474","15812","15372","14982","15046","14580","13878","13228","12798","12071","144241","11855","10849","10192","9763","9960","10734","10717","11751","12027","12904","110752","13112","13006","12744","12097","11153","11250","11113","9701","9203","8374","8302","7569","5583","4925","4379","2269","1514","1292","2435","3317","3317","3164","2582","2391","1729","1297","841","622","722","461","565","431","312","212","157","118","70","63","31","25","172448","472241","112615","302839","56787","528279","108011","284058","136210","321615","75895","209603","36117","371257","72590","204947","93720","456732","1264553","1304471.6000000000","74"
"        Кабардино-Балкарская Республика","38681","11749","21076","30491","44270","85821","16.0000000000","14.8000000000","904338","199410","539605","165323","10441","10449","10445","11618","11733","12721","14005","13669","13642","14314","12871","14491","13293","13006","12286","10426","11065","9912","220387","10365","10162","9838","12829","11954","11607","10513","11549","88817","13486","11206","12177","13333","14024","64226","18200","17472","15801","15357","16152","17091","13540","13598","12998","12251","152460","15941","12795","12189","10518","11354","12458","10032","9746","10135","10159","115327","13060","11463","12160","10495","10786","13108","11224","11545","11579","11280","116700","13733","10949","10478","9136","9218","8752","8331","6908","7075","5944","6439","5507","4415","3804","3232","2700","1668","2162","3232","3020","3651","3233","2888","2200","1884","1412","911","734","954","442","521","241","222","142","104","65","32","38","40","4","146421","429493","101960","275236","52297","474845","97450","264369","113026","217057","47909","140122","29026","252388","46229","141261","64898","394611","2566148","1897075.6000000000","18"
"        Удмуртская Республика","38353","13072","22433","31442","44201","80618","13.8000000000","9.4000000000","1448946","296719","806303","345924","14394","14533","14538","16278","17510","20683","21572","21472","21782","22461","21265","19796","19003","18179","17607","15646","15964","16724","329407","16029","14977","14002","14189","13749","14093","13452","13815","114306","13547","15441","15040","17013","17928","78969","20411","21691","24109","25102","24861","23740","23465","24787","22248","21714","232128","22156","21000","20834","20436","21973","20540","20186","18417","18257","18097","201896","17914","16321","16086","16592","17408","17828","18748","20086","20901","21769","183653","23612","22238","22099","20830","19237","19480","18715","16293","16168","14919","14117","13301","9722","9906","7774","4511","3346","2889","4189","6124","5828","6378","5243","4357","3607","2888","2267","1723","1696","1392","1204","753","586","424","322","173","119","84","39","34","308587","663772","152095","414216","97461","785174","144624","392087","248463","424526","94965","269670","59891","527645","91131","275626","160888","772119","2780518","3535801.8000000000","213"
"        Тверская область","41193","14133","24191","33844","47487","86308","13.7000000000","9.3000000000","1226038","203815","679665","342558","9422","9979","10552","11381","12511","14153","14335","14458","14498","15078","14298","12834","12403","13689","13121","11103","11333","10900","226048","11497","11210","10522","10919","10538","10368","9683","10690","85427","11081","10906","11628","13484","15460","62559","18151","19282","20133","21016","20946","20547","20132","20549","19220","18616","198592","19519","18206","18067","17436","18072","18120","17197","16363","16670","16299","175949","16776","15175","15121","14685","15927","16468","16948","17988","18522","20089","167699","20950","19737","19671","19173","18585","18333","17650","15919","15498","14390","14898","14580","11239","10700","8993","5217","3610","2762","4369","7514","6764","7283","6476","6013","3961","3215","2120","1979","2032","1523","1438","957","777","528","337","242","154","85","50","42","309764","558561","104241","357774","96546","667477","99574","321891","246012","417750","81368","267743","68639","518255","77730","253788","186737","3169682","9298718","7258510.6000000000","144"
