,region,num_sessions,installs,orders,revenue,revenue_quartile,region_russian,revenue_per_order
0,Krasnodar Krai,1.0,1.0,1.0,1.0,Very High,Краснодарский край,1.0
1,Moscow Oblast,0.52261649681026,0.480609496190648,0.325434782608695,0.490552224662668,Very High,Московская область,1.6864554921628938
2,Sverdlovsk Oblast,0.506194346482788,0.457039331004181,0.337536231884057,0.408210114066151,Very High,Свердловская область,1.348128603446693
3,Tatarstan Republic,0.440533059782575,0.35690089436941,0.293043478260869,0.304032879929527,Very High,Татарстан,1.1729926390639096
4,Chelyabinsk Oblast,0.381014525302433,0.379930437934762,0.216159420289855,0.240917617322201,Very High,Челябинская область,1.299023404081821
5,Bashkortostan Republic,0.307544295192021,0.281629489815688,0.192246376811594,0.210251213612574,Very High,Башкортостан,1.2897173177050802
6,Novosibirsk Oblast,0.300961474260532,0.300121561740239,0.193405797101449,0.223770484779402,Very High,Новосибирская область,1.3635980346476597
7,Nizhny Novgorod Oblast,0.273328194140105,0.231265742089111,0.18927536231884,0.200708972166125,Very High,Нижегородская область,1.2524583488467456
8,Samara Oblast,0.271901764523784,0.256306210586183,0.182898550724637,0.220394682163044,Very High,Самарская область,1.4281368349507004
9,Rostov Oblast,0.266369038586438,0.326066712083049,0.201884057971014,0.248302867231833,Very High,Ростовская область,1.4433428536709523
10,Perm Krai,0.264560204434678,0.237187580077624,0.15463768115942,0.174871187138874,Very High,Пермский край,1.3629232392442017
11,Voronezh Oblast,0.217284685001851,0.211892425672339,0.182246376811594,0.192209818407371,Very High,Воронежская область,1.2504052115809303
12,Khabarovsk,0.214425755855948,0.188987881325741,0.202028985507246,0.203170379754964,Very High,Хабаровский край,1.1800634006113044
13,Volgograd Oblast,0.153322974014701,0.163356791520053,0.0887681159420289,0.0944764147564752,Very High,Волгоградская область,1.3559407149905933
14,Irkutsk Oblast,0.149301656479328,0.164614596158774,0.0744202898550724,0.0784919145963214,Very High,Иркутская область,1.3676168082955722
15,Krasnoyarsk Krai,0.141729439686306,0.120696120649245,0.0654347826086956,0.0941656747076305,Very High,Красноярский край,1.8901796893899936
16,Stavropol Kray,0.139586760305195,0.164739595377528,0.0766666666666666,0.0901287934210246,Very High,Ставропольский край,1.5198345663392263
17,Khanty-Mansia,0.12934681663399,0.0945665964587721,0.0515942028985507,0.0721828478077196,High,Ханты-Мансийский автономный округ - Югра,1.8817980501169271
18,Saratov Oblast,0.109744031757786,0.166773957662764,0.058695652173913,0.0707327773915678,High,Саратовская область,1.6001260135925381
19,Tyumen Oblast,0.105762168658609,0.0886494459409628,0.0510869565217391,0.0603531766511343,High,Тюменская область,1.5905931221605252
20,Udmurtiya Republic,0.100611847256702,0.0812198048762195,0.0521739130434782,0.0524169873400416,High,Удмуртская республика,1.349812063767464
21,Primorye,0.0958894547396917,0.0758885881963237,0.0731884057971014,0.0933380188103355,Very High,Приморский край,1.6564260894164353
22,Yaroslavl Oblast,0.0952703235870759,0.0777573265167092,0.065,0.0757852700625213,Very High,Ярославская область,1.5324281114940899
23,Kemerovo Oblast,0.0950548416663125,0.0958212761170242,0.0451449275362318,0.0623025502470061,High,Кемеровская область,1.8812043219157017
24,Altai Krai,0.0918377876380146,0.0959337754139036,0.0444202898550724,0.0491663152407379,High,Алтайский край,1.5112215377500455
25,Lipetsk Oblast,0.0870577309450248,0.080938556634021,0.0586231884057971,0.0635055292792712,High,Липецкая область,1.4385837862553486
26,Omsk Oblast,0.0856404061985954,0.077433891038181,0.0330434782608695,0.0415792492634026,High,Омская область,1.7696293464042852
27,Transbaikal Territory,0.0788633480427564,0.0978853257167142,0.0609420289855072,0.0489197153731878,High,Забайкальский край,1.0618797067245003
28,Crimea,0.0777161344364389,0.0963181480115749,0.0716666666666666,0.0699355784030973,High,Республика Крым,1.2701331332042625
29,Leningrad Oblast,0.0704565181763552,0.0628433572290173,0.0484782608695652,0.0552953007060173,High,Ленинградская область,1.543783837006661
30,Orenburg Oblast,0.0687326628102484,0.0881322616733645,0.0281159420289855,0.036832325817415,Medium,Оренбургская область,1.8723250189787872
31,Smolensk Oblast,0.0682470697493732,0.0672073924537971,0.0484782608695652,0.0560862954260039,High,Смоленская область,1.5658675375794302
32,Kaliningrad Oblast,0.0676127638136051,0.0639808501196867,0.0438405797101449,0.0536504304828356,High,Калининградская область,1.6730514395092657
33,Murmansk,0.0671544853624041,0.0516293648164698,0.0423188405797101,0.0508643898568301,High,Мурманская область,1.6490229598777668
34,Vologda Oblast,0.066766010913704,0.0524809219942375,0.0626086956521739,0.0820307304961796,Very High,Вологодская область,1.7285361129263808
35,Tula Oblast,0.0666810321280508,0.0700058124636721,0.0434057971014492,0.0580133050285578,High,Тульская область,1.8290479811978886
36,Vladimir Oblast,0.0643350106526977,0.0747307829326066,0.039927536231884,0.0475640133930351,High,Владимирская область,1.6439126183465034
37,Tver Oblast,0.0627507632915925,0.07617608639946,0.0433333333333333,0.0481592261735315,High,Тверская область,1.521161036339464
38,Sakha,0.0616703187311453,0.0550121561740239,0.0393478260869565,0.0413179975279122,High,Республика Саха (Якутия),1.451197253621531
39,Belgorod Oblast,0.061603549685275,0.0784573221417366,0.0485507246376811,0.0670651743091616,High,Белгородская область,1.8693118960321184
40,Arkhangelskaya,0.0598887991890595,0.0452278423259854,0.0342028985507246,0.0433980955648605,High,Архангельская область,1.7782854224733546
41,Kaluga Oblast,0.0590420462891585,0.0527668577071393,0.0337681159420289,0.0408745930788236,Medium,Калужская область,1.698618809186779
42,Ulyanovsk Oblast,0.0565139274159772,0.0567168330197936,0.0302173913043478,0.0359557334373782,Medium,Ульяновская область,1.688439433849824
44,Ivanovo Oblast,0.0540859621116014,0.0531684176973893,0.0305797101449275,0.0288602279071411,Medium,Ивановская область,1.337590129611351
45,Komi,0.0529842728547409,0.0491559427753576,0.0218115942028985,0.0286750288725113,Medium,Республика Коми,1.9272928655994268
46,Tomsk Oblast,0.0528719794594135,0.0361544615346154,0.0246376811594202,0.0318199304370611,Medium,Томская область,1.8704211822861818
47,Ryazan Oblast,0.0517429755928787,0.0519746751582802,0.0331884057971014,0.0345713569702813,Medium,Рязанская область,1.464304495649035
48,Penza Oblast,0.0484530826054495,0.0435216029899813,0.0244927536231884,0.0313888138963889,Medium,Пензенская область,1.85709247344027
49,Kursk Oblast,0.047803601886529,0.0617402391235054,0.0307971014492753,0.0357423856402375,Medium,Курская область,1.6437005795701107
50,Dagestan,0.0455971884161775,0.180173873913288,0.0177536231884057,0.0171956396239056,Low,Республика Дагестан,1.4494479924977959
51,Kirov Oblast,0.0433118660734338,0.0369560190248811,0.0251449275362318,0.0280874534997076,Medium,Кировская область,1.614421524418668
52,Chuvashia,0.0423103303853787,0.0385950712808044,0.0205072463768115,0.024567259407432,Medium,Чувашия,1.7670898305825644
53,Astrakhan Oblast,0.0407655374604696,0.0516590521309241,0.0221739130434782,0.0271063454819376,Medium,Астраханская область,1.7891402876187148
54,Yamalo-Nenets,0.0402556647465507,0.0258560883994475,0.0213768115942028,0.0302330501394743,Medium,Ямало-Ненецкий автономный округ,2.0775177440536017
55,Bryansk Oblast,0.0388929692194698,0.0416200523746726,0.021231884057971,0.0241580675560992,Medium,Брянская область,1.6725334184652092
56,Karelia,0.0384043412019642,0.0297670014562408,0.0267391304347826,0.0251926248247349,Medium,Республика Карелия,1.3533540014420151
57,Pskov Oblast,0.0368109889709676,0.0275107655577152,0.0297826086956521,0.0328141050475538,Medium,Псковская область,1.5656747765992105
58,Amur Oblast,0.0362343472111783,0.0307623077355766,0.024927536231884,0.0244038176225103,Medium,Амурская область,1.4161539854793548
59,Tambov Oblast,0.0332297401470133,0.0414606783707601,0.019927536231884,0.0223124237119496,Medium,Тамбовская область,1.6563334796772071
61,Buryatiya Republic,0.0308381943222031,0.0339904125599215,0.0132608695652173,0.0154662492957194,Low,Бурятия,1.7970319659674974
62,Sakhalin Oblast,0.0294724638384917,0.0180030124811719,0.0205797101449275,0.0300304328821375,Medium,Сахалинская область,2.151683618748596
63,Kostroma Oblast,0.0273055048043363,0.0301029368566446,0.0183333333333333,0.0210386825310411,Medium,Костромская область,1.7117997633865512
64,North Ossetia–Alania,0.0265133811237837,0.0283982600108749,0.0113043478260869,0.016104134876411,Low,Северная Осетия - Алания,2.230320807390635
65,Kurgan Oblast,0.0249534134157222,0.0248982818857382,0.0113768115942029,0.0143020991538372,Low,Курганская область,1.9668768194100288
66,Oryol oblast,0.0247864908010464,0.0289779438878507,0.015,0.0155723484082441,Low,Орловская область,1.57998777584818
67,Novgorod Oblast,0.0240095419036462,0.0257639014756157,0.0169565217391304,0.0142264857569552,Low,Новгородская область,1.2613255273527497
68,Mordoviya Republic,0.0238395843323398,0.0256482771982675,0.0107246376811594,0.0132534769561833,Low,Республика Мордовия,1.9449522136145105
69,Mariy-El Republic,0.0207317887427388,0.0187248829694814,0.0114492753623188,0.0142557237772818,Low,Марий Эл,1.9468543916642065
70,Kabardino-Balkariya Republic,0.020668054653499,0.0343997850013437,0.00978260869565217,0.0120309389945289,Low,Кабардино-Балкарская Республика,1.9534368420823185
71,Kamchatka,0.0202553005517551,0.0179670752057799,0.0158695652173913,0.0193120729610306,Low,Камчатский край,1.8416511232628814
72,Khakasiya Republic,0.0171808894850892,0.0200858119636752,0.00637681159420289,0.00679215172963838,Low,Республика Хакасия,1.765807815606452
73,Adygeya Republic,0.0153993699430035,0.0132686670708308,0.00978260869565217,0.0109697111132445,Low,Адыгея,1.7811276281391153
74,Chechnya,0.0142430514667945,0.0738854757157767,0.00623188405797101,0.00793680055576778,Low,Чеченская республика,2.116236329728026
76,Magadan Oblast,0.0111079412675192,0.00585621339866625,0.00739130434782608,0.0114326159778729,Low,Магаданская область,2.526692678212632
78,Republic of Tyva,0.00776038410411115,0.0072890169436441,0.0031159420289855,0.00507045012128989,Low,Тыва,2.89799884977838
79,Kalmykiya Republic,0.00763595088226189,0.0102374360160249,0.00304347826086956,0.00305370277877311,Low,Республика Калмыкия,1.791098787479473
84,Ingushetiya Republic,0.00470418277722811,0.0166155211529927,0.00123188405797101,0.00161930327175787,Low,Ингушетия,2.5686289611050293
86,Altai,0.00425804415254906,0.00591871300804369,0.00318840579710144,0.00246694389922464,Low,Республика Алтай,1.3747645481845379
87,Nenets,0.00406380692819899,0.00160623996100024,0.0017391304347826,0.00245744665132768,Low,Ненецкий автономный округ,2.6675878315271526
89,Karachayevo-Cherkesiya Republic,0.00305316637025256,0.00214529909188067,0.00144927536231884,0.00216603867817851,Low,Карачаево-Черкесская республика,2.8734272576460205
